Country,year,"Other, unknown",Own outright,Owner with mortgage,Rent (private),Rent (subsidized)
Canada,2011,0.003505155837046914,28.757348656654358,40.50787389278412,30.73127269744873,NA
Canada,2012,0.9331419132649899,30.974075198173523,38.635796308517456,29.456984996795654,NA
Canada,2013,1.1469308286905289,30.692148208618164,38.414984941482544,29.745936393737793,NA
Canada,2014,0.6841212976723909,30.890655517578125,38.89147639274597,29.53374981880188,NA
Canada,2015,1.1244595982134342,29.86428439617157,39.183154702186584,29.82810139656067,NA
Canada,2016,0.9609600529074669,29.500851035118103,38.63552510738373,30.902662873268127,NA
Canada,2017,0.8841671049594879,29.67294752597809,39.08688426017761,30.355998873710632,NA
Canada,2018,NA,29.874345660209656,39.285242557525635,30.84041476249695,NA
Chile,2011,17.56151169538498,52.66011357307434,12.80636340379715,16.97200834751129,NA
Chile,2013,16.832725703716278,51.27975344657898,13.334810733795166,18.552710115909576,NA
Chile,2015,16.35158658027649,51.36004090309143,12.26726919412613,20.02110332250595,NA
Chile,2017,17.682136595249176,49.365147948265076,11.0255166888237,21.927200257778168,NA
Chile,2020,15.075628459453583,61.77048683166504,NA,23.153884708881378,NA
Colombia,2012,11.71785220503807,36.95175647735596,6.355353444814682,44.97504234313965,NA
Colombia,2013,11.626408994197845,37.23652958869934,6.144556403160095,44.99250650405884,NA
Colombia,2014,12.516297399997711,35.80029010772705,5.643896758556366,46.03951275348663,NA
Colombia,2015,12.506046891212463,34.80067253112793,5.708900839090347,46.98438346385956,NA
Colombia,2016,12.4871127307415,34.68168377876282,5.7073429226875305,47.12386131286621,NA
Colombia,2017,12.374456971883774,33.67002606391907,5.545412003993988,48.41009974479675,NA
Colombia,2018,12.912167608737946,33.653005957603455,4.731779173016548,48.70305061340332,NA
Colombia,2019,12.70720511674881,32.84442722797394,5.3638603538274765,49.08451437950134,NA
Colombia,2020,12.430170178413391,31.77393674850464,5.245686322450638,50.55020451545715,NA
Costa Rica,2010,8.926022052764893,62.298452854156494,8.146338164806366,20.629188418388367,NA
Costa Rica,2011,9.19196680188179,61.30021810531616,8.927880227565765,20.579935610294342,NA
Costa Rica,2012,9.199168533086777,62.22063899040222,7.803739607334137,20.776452124118805,NA
Costa Rica,2013,8.70351791381836,62.55348324775696,8.554669469594955,20.188328623771667,NA
Costa Rica,2014,8.886148035526276,62.25636005401611,9.956451505422592,18.901042640209198,NA
Costa Rica,2015,10.870200395584106,60.04985570907593,10.559968650341034,18.519972264766693,NA
Costa Rica,2016,10.111575573682785,61.238259077072144,9.985242038965225,18.664924800395966,NA
Costa Rica,2017,9.919553250074387,62.916237115859985,9.904919564723969,17.25929230451584,NA
Costa Rica,2018,10.146404057741165,61.991679668426514,9.277763962745667,18.584153056144714,NA
Costa Rica,2019,10.389262437820435,60.51916480064392,10.357090830802917,18.734480440616608,NA
Costa Rica,2020,9.757369756698608,62.693703174591064,9.595408290624619,17.95351803302765,NA
Croatia,2016,6.771262735128403,85.08051633834839,4.742952063679695,1.7861394211649895,1.619126833975315
Croatia,2017,6.452929228544235,84.72396731376648,5.694751068949699,1.532130315899849,1.5962207689881325
Croatia,2018,6.993111222982407,84.29448008537292,5.4115332663059235,1.325744390487671,1.9751319661736488
Croatia,2019,7.316859811544418,83.32184553146362,5.872498452663422,1.763441413640976,1.7253587022423744
Croatia,2020,5.891387537121773,84.94775295257568,6.3687629997730255,1.5297329053282738,1.2623676098883152
Cyprus,2010,20.770961046218872,53.09472680091858,12.234117835760117,13.081736862659454,0.8184591308236122
Cyprus,2011,20.146581530570984,52.04113721847534,13.880053162574768,12.781910598278046,1.1503192596137524
