Country,tenure_mode,year,value
Denmark,Owner with mortgage,2015,37.6030832529068
Denmark,Owner with mortgage,2016,36.940160393714905
Denmark,Owner with mortgage,2017,37.86277770996094
Denmark,Owner with mortgage,2018,37.430885434150696
Denmark,Owner with mortgage,2019,37.52269148826599
Denmark,Owner with mortgage,2020,36.21615469455719
Denmark,Owner with mortgage,2021,NA
Denmark,Rent (private),2010,42.46571958065033
Denmark,Rent (private),2011,41.84995889663696
Denmark,Rent (private),2012,45.266443490982056
Denmark,Rent (private),2013,45.21498382091522
Denmark,Rent (private),2014,46.00210785865784
Denmark,Rent (private),2015,46.57675623893738
Denmark,Rent (private),2016,47.32309877872467
Denmark,Rent (private),2017,45.920976996421814
Denmark,Rent (private),2018,46.936315298080444
Denmark,Rent (private),2019,47.20517694950104
Denmark,Rent (private),2020,48.62816631793976
Denmark,Rent (private),2021,NA
Denmark,Rent (subsidized),2010,NA
Denmark,Rent (subsidized),2011,NA
Denmark,Rent (subsidized),2012,NA
Denmark,Rent (subsidized),2013,NA
Denmark,Rent (subsidized),2014,NA
Denmark,Rent (subsidized),2015,NA
Denmark,Rent (subsidized),2016,NA
Denmark,Rent (subsidized),2017,NA
Denmark,Rent (subsidized),2018,NA
Denmark,Rent (subsidized),2019,NA
Denmark,Rent (subsidized),2020,NA
Denmark,Rent (subsidized),2021,NA
Denmark,"Other, unknown",2010,0.12782466365024447
Denmark,"Other, unknown",2011,1.4750804752111435
Denmark,"Other, unknown",2012,0.3251855028793216
Denmark,"Other, unknown",2013,0.08787500555627048
Denmark,"Other, unknown",2014,0.14243664918467402
Denmark,"Other, unknown",2015,0.08423319086432457
Denmark,"Other, unknown",2016,0.10859296889975667
Denmark,"Other, unknown",2017,0.19553627353161573
Denmark,"Other, unknown",2018,0.0972217763774097
Denmark,"Other, unknown",2019,0.06847246550023556
Denmark,"Other, unknown",2020,0.12466526823118329
Denmark,"Other, unknown",2021,NA
Estonia,Own outright,2010,69.32257413864136
Estonia,Own outright,2011,67.15868711471558
Estonia,Own outright,2012,64.93231654167175
Estonia,Own outright,2013,62.368983030319214
Estonia,Own outright,2014,62.59843707084656
Estonia,Own outright,2015,62.58483529090881
Estonia,Own outright,2016,61.970335245132446
Estonia,Own outright,2017,62.80673146247864
Estonia,Own outright,2018,61.6021990776062
Estonia,Own outright,2019,59.89606976509094
Estonia,Own outright,2020,57.56734609603882
Estonia,Own outright,2021,NA
Estonia,Owner with mortgage,2010,12.487903237342834
Estonia,Owner with mortgage,2011,12.744437158107758
Estonia,Owner with mortgage,2012,13.441810011863708
Estonia,Owner with mortgage,2013,14.093540608882904
Estonia,Owner with mortgage,2014,14.565655589103699
Estonia,Owner with mortgage,2015,14.256106317043304
Estonia,Owner with mortgage,2016,14.345692098140717
Estonia,Owner with mortgage,2017,14.313049614429474
Estonia,Owner with mortgage,2018,15.819831192493439
Estonia,Owner with mortgage,2019,16.465958952903748
Estonia,Owner with mortgage,2020,19.121642410755157
Estonia,Owner with mortgage,2021,NA
Estonia,Rent (private),2010,2.9621880501508713
Estonia,Rent (private),2011,2.7478812262415886
Estonia,Rent (private),2012,3.287063166499138
Estonia,Rent (private),2013,3.7247005850076675
Estonia,Rent (private),2014,4.204368591308594
Estonia,Rent (private),2015,4.200369492173195
Estonia,Rent (private),2016,4.852583631873131
Estonia,Rent (private),2017,5.116744339466095
Estonia,Rent (private),2018,5.50851933658123
Estonia,Rent (private),2019,5.548565462231636
Estonia,Rent (private),2020,5.697063729166985
Estonia,Rent (private),2021,NA
Estonia,Rent (subsidized),2010,3.1313057988882065
Estonia,Rent (subsidized),2011,3.085957281291485
Estonia,Rent (subsidized),2012,4.031949490308762
Estonia,Rent (subsidized),2013,4.184373095631599
Estonia,Rent (subsidized),2014,3.944789245724678
Estonia,Rent (subsidized),2015,4.109477624297142
Estonia,Rent (subsidized),2016,4.032879322767258
Estonia,Rent (subsidized),2017,3.9760492742061615
Estonia,Rent (subsidized),2018,3.368362784385681
Estonia,Rent (subsidized),2019,3.6746498197317123
Estonia,Rent (subsidized),2020,4.0961820632219315
Estonia,Rent (subsidized),2021,NA
Estonia,"Other, unknown",2010,12.096025049686432
Estonia,"Other, unknown",2011,14.263035356998444
Estonia,"Other, unknown",2012,14.306861162185669
Estonia,"Other, unknown",2013,15.628403425216675
Estonia,"Other, unknown",2014,14.686751365661621
Estonia,"Other, unknown",2015,14.849206805229187
Estonia,"Other, unknown",2016,14.798513054847717
Estonia,"Other, unknown",2017,13.787423074245453
Estonia,"Other, unknown",2018,13.70108276605606
Estonia,"Other, unknown",2019,14.414757490158081
Estonia,"Other, unknown",2020,13.517767190933228
Estonia,"Other, unknown",2021,NA
Finland,Own outright,2010,35.849952697753906
Finland,Own outright,2011,35.61345636844635
Finland,Own outright,2012,35.77132821083069
Finland,Own outright,2013,34.896281361579895
Finland,Own outright,2014,33.84343087673187
Finland,Own outright,2015,33.92553925514221
Finland,Own outright,2016,32.877346873283386
